PLAYER,WINDOW,POSITION,COUNTRY,TO,FROM,PRICE DESCRIPTION,PRICE,LEAGUE ,SEASON
Christian Benteke,Pre-Season,Attacker,BEL,Liverpool,Aston Villa,Sold,46500000,EPL,15/16
Kevin De Bruyne,Pre-Season,Midfielder,BEL,Manchester City,Wolfsburg,Sold,76000000,EPL,15/16
Stephane Sessegnon,Mid-Season,,BEN,Sunderland,Paris S-G,Sold,7000000,EPL,10-Nov
Bakary Kone,Pre-Season,Defender,BFA,Malaga,Lyon,Sold,800000,La Liga,16/17
Aleksandar Tonev,Pre-Season,Midfielder,BGR,Aston Villa,Lech Poznan,Sold,3000000,EPL,13/14
Dimitar Berbatov,Pre-Season,Attacker,BGR,Fulham,Manchester Utd,Sold,6000000,EPL,Dec-13
Miroslav Stevanovic,Mid-Season,Midfielder,BIH,Sevilla,Vojvodina,Sold,1500000,La Liga,Dec-13
Senad Lulic,Pre-Season,Midfielder,BIH,Lazio,Young Boys,Sold,3000000,Serie A,11-Dec
Vedad Ibisevic,Mid-Season,Attacker,BIH,Stuttgart,Hoffenheim,Sold,5000000,ROE,11-Dec
Muhamed Besic,Pre-Season,Midfielder,BIH,Everton,Ferencvaros,Sold,5000000,EPL,14/15
Miralem Pjanic,Pre-Season,Midfielder,BIH,Roma,Lyon,Sold,10000000,Serie A,11-Dec
Edin Dzeko,Pre-Season,Attacker,BIH,Roma,Manchester City,Sold,11000000,Serie A,15/16
Asmir Begovic,Pre-Season,Goalkeeper,BIH,Chelsea,Stoke,Sold,11250000,EPL,15/16
Miralem Pjanic,Pre-Season,Midfielder,BIH,Juventus,Roma,Sold,30400000,Serie A,16/17
Edin Dzeko,Mid-Season,,BIH,Manchester City,Wolfsburg,Sold,32500000,EPL,10-Nov
Charles,Pre-Season,Attacker,BRA,Malaga,Celta,Sold,500000,La Liga,15/16
Jonathan Lucca,Pre-Season,Midfielder,BRA,Roma,Internacional,Sold,700000,Serie A,Dec-13
Vagner Love,Mid-Season,Attacker,BRA,Monaco,Corinthians,Sold,1000000,ROE,15/16
Lucas Lima,Pre-Season,Defender,BRA,Nantes,Arouca,Sold,1000000,ROE,16/17
Caiuby,Pre-Season,Attacker,BRA,Augsburg,Ingolstadt,Sold,1000000,Bundesliga,14/15
Felipe Santana,Pre-Season,Defender,BRA,Schalke,Bor. Dortmund,Sold,1000000,Bundesliga,13/14
Gilberto,Pre-Season,Defender,BRA,Fiorentina,Botafogo,Sold,1000000,Serie A,15/16
Charles,Pre-Season,Attacker,BRA,Celta Vigo,Almeria,Sold,1000000,La Liga,13/14
Franca,Mid-Season,Midfielder,BRA,Hannover,Coritiba,Sold,1300000,Bundesliga,Dec-13
Paulo Barreto,Mid-Season,Attacker,BRA,Torino,Udinese,Sold,1800000,Serie A,Dec-13
Naldo,Pre-Season,Defender,BRA,Sporting Lisbon,Udinese,Sold,2000000,ROE,15/16
Dante,Pre-Season,Defender,BRA,Nice,Wolfsburg,Sold,2000000,ROE,16/17
Dalbert Henrique,Pre-Season,Defender,BRA,Nice,Vitoria Guimaraes,Sold,2000000,ROE,16/17
Matheus Perreira,Pre-Season,Midfielder,BRA,Empoli,Corinthians,Sold,2000000,Serie A,16/17
Deyverson,Pre-Season,Attacker,BRA,Levante,Belenenses,Sold,2000000,La Liga,15/16
Julio Baptista,Mid-Season,Attacker,BRA,Malaga,Roma,Sold,2000000,La Liga,10-Nov
Felipe Martins,Pre-Season,Defender,BRA,Hannover,Standard Liege,Sold,2200000,Bundesliga,Dec-13
Douglas dos Santos,Pre-Season,Defender,BRA,Granada,Nautico,Sold,2350000,La Liga,13/14
Fabio Da Silva,Pre-Season,Defender,BRA,Middlesbrough,Cardiff,Sold,2400000,EPL,16/17
Marcelo,Pre-Season,Defender,BRA,Hannover,PSV Eindhoven,Sold,2500000,Bundesliga,13/14
Romulo,Pre-Season,Defender,BRA,Fiorentina,Cruzeiro,Sold,2500000,Serie A,11-Dec
Marcelo Filho,Pre-Season,Defender,BRA,PSV,Wisla Krakow,Sold,3000000,ROE,10-Nov
Evaldo dos Santos Fabiano,Pre-Season,Defender,BRA,Sporting CP,Braga,Sold,3000000,ROE,10-Nov
Cleber,Pre-Season,Defender,BRA,Hamburg,Corinthians,Sold,3000000,Bundesliga,14/15
