PLAYER,WINDOW,POSITION,COUNTRY,TO,FROM,PRICE DESCRIPTION,PRICE,LEAGUE ,SEASON
Alvaro Negredo,Pre-Season,Attacker,ESP,Valencia,Manchester City,Sold,30000000,La Liga,15/16
Paco Alcacer,Pre-Season,Attacker,ESP,Barcelona,Valencia,Sold,30000000,La Liga,16/17
Alvaro Morata,Pre-Season,Attacker,ESP,Real Madrid,Juventus,Sold,30000000,La Liga,16/17
Roberto Soldado,Pre-Season,Attacker,ESP,Tottenham,Valencia,Sold,30000000,EPL,13/14
Xabi Alonso,Pre-Season,,ESP,Real Madrid,Liverpool,Sold,35400000,La Liga,09-Oct
Cesc Fabregas,Pre-Season,Midfielder,ESP,Chelsea,Barcelona,Sold,36000000,EPL,14/15
Ander Herrera,Pre-Season,Midfielder,ESP,Manchester Utd,Athletic Bilbao,Sold,36000000,EPL,14/15
Asier Illarramendi,Pre-Season,Midfielder,ESP,Real Madrid,Real Sociedad,Sold,38000000,La Liga,13/14
Cesc Fabregas,Pre-Season,Midfielder,ESP,Barcelona,Arsenal,Sold,39700000,La Liga,11-Dec
Javi Martinez,Pre-Season,Midfielder,ESP,Bayern Munich,Athletic Bilbao,Sold,40000000,Bundesliga,Dec-13
David Villa,Pre-Season,Attacker,ESP,Barcelona,Valencia,Sold,40000000,La Liga,10-Nov
Diego Costa,Pre-Season,Attacker,ESP,Chelsea,Atletico Madrid,Sold,40000000,EPL,14/15
Juan Mata,Mid-Season,,ESP,Manchester Utd,Chelsea,Sold,44700000,EPL,13/14
Fernando Torres,Mid-Season,,ESP,Chelsea,Liverpool,Sold,58400000,EPL,10-Nov
Ragnar Klavan,Pre-Season,Defender,EST,Liverpool,Augsburg,Sold,5000000,EPL,16/17
Niklas Moisander,Pre-Season,Defender,FIN,Werder Bremen,Sampdoria,Sold,1800000,Bundesliga,16/17
Lukas Hradecky,Pre-Season,Goalkeeper,FIN,Eint. Frankfurt,Brondby,Sold,2000000,Bundesliga,15/16
Teemu Pukki,Pre-Season,Attacker,FIN,Celtic,Schalke,Sold,2500000,ROE,13/14
Niklas Moisander,Pre-Season,Defender,FIN,Ajax,AZ Alkmaar,Sold,3000000,ROE,Dec-13
Darnel Situ,Pre-Season,Defender,FRA,Swansea City,Lens,Sold,280000,EPL,11-Dec
Maxwel Cornet,Mid-Season,Attacker,FRA,Lyon,Metz,Sold,400000,ROE,14/15
Kevin Malcuit,Pre-Season,Defender,FRA,Saint Etienne,Niort,Sold,500000,ROE,15/16
Alassane Plea,Pre-Season,Midfielder,FRA,Nice,Lyon,Sold,500000,ROE,14/15
Olivier Kemen,Pre-Season,Midfielder,FRA,Lyon,Newcastle,Sold,700000,ROE,15/16
Jessy Pi,Pre-Season,Midfielder,FRA,Toulouse,Monaco,Sold,700000,ROE,16/17
Clement Chantome,Mid-Season,Midfielder,FRA,Bordeaux,PSG,Sold,750000,ROE,14/15
Christophe Jallet,Pre-Season,Defender,FRA,Lyon,PSG,Sold,750000,ROE,14/15
Gael Danic,Pre-Season,Midfielder,FRA,Lyon,Valenciennes,Sold,800000,ROE,13/14
Yassine Benzia,Pre-Season,Attacker,FRA,Lille,Lyon,Sold,1000000,ROE,15/16
Remi Walter,Mid-Season,Midfielder,FRA,Nice,Nancy,Sold,1000000,ROE,15/16
Naby Sarr,Pre-Season,Defender,FRA,Sporting Lisbon,Lyon,Sold,1000000,ROE,14/15
Chris Mavinga,Pre-Season,Defender,FRA,Rennes,Liverpool,Sold,1000000,ROE,11-Dec
Morgan Amalfitano,Pre-Season,Midfielder,FRA,West Ham,Marseille,Sold,1000000,EPL,14/15
Hadi Sacko,Pre-Season,Midfielder,FRA,Sporting Lisbon,Bordeaux,Sold,1400000,ROE,14/15
Zacharie Boucher,Mid-Season,Goalkeeper,FRA,Toulouse,Havre,Sold,1500000,ROE,13/14
Lindsay Rose,Mid-Season,Defender,FRA,Valenciennes,Laval,Sold,1500000,ROE,Dec-13
Anthony Mounier,Pre-Season,Midfielder,FRA,Bologna,Montpellier,Sold,1500000,Serie A,15/16
Patrice Evra,Pre-Season,Defender,FRA,Juventus,Manchester Utd,Sold,1500000,Serie A,14/15
Florian Lejeune,Pre-Season,Defender,FRA,Eibar,Manchester City,Sold,1500000,La Liga,16/17
Yoan Gouffran,Mid-Season,,FRA,Newcastle,Bordeaux,Sold,1700000,EPL,Dec-13
Lindsay Rose,Pre-Season,Defender,FRA,Lyon,Valenciennes,Sold,1800000,ROE,14/15
Nolan Roux,Pre-Season,Attacker,FRA,Saint Etienne,Lille,Sold,2000000,ROE,15/16
Romain Alessandrini,Pre-Season,Midfielder,FRA,Rennes,Clermont,Sold,2000000,ROE,Dec-13
Thomas Heurtaux,Pre-Season,Defender,FRA,Udinese,Caen,Sold,2000000,Serie A,Dec-13
Yacouba Sylla,Mid-Season,,FRA,Aston Villa,Clermont,Sold,2400000,EPL,Dec-13
Wylan Cyprien,Pre-Season,Midfielder,FRA,Nice,Lens,Sold,2500000,ROE,16/17
Jeremy Morel,Pre-Season,Defender,FRA,Olymp. Marseille,Lorient,Sold,2500000,ROE,11-Dec
Ishak Belfodil,Pre-Season,Attacker,FRA,Parma,Lyon,Sold,2500000,Serie A,Dec-13
Jonas Martin,Pre-Season,Midfielder,FRA,Real Betis,Montpellier,Sold,2500000,La Liga,16/17
Aly Cissokho,Pre-Season,Defender,FRA,Aston Villa,Valencia,Sold,2500000,EPL,14/15
Kevin Theophile-Catherine,Pre-Season,Defender,FRA,Cardiff,Rennes,Sold,2500000,EPL,13/14
Moussa Sissoko,Mid-Season,,FRA,Newcastle,Toulouse,Sold,2500000,EPL,Dec-13
Christopher Jullien,Pre-Season,Defender,FRA,Toulouse,Freiburg,Sold,3000000,ROE,16/17
Arnold Mvuemba,Pre-Season,Midfielder,FRA,Lyon,Lorient,Sold,3000000,ROE,Dec-13
Anthony Modeste,Pre-Season,Attacker,FRA,Bordeaux,Nice,Sold,3000000,ROE,10-Nov
Mathieu Bodmer,Pre-Season,Midfielder,FRA,Paris S-G,Lyon,Sold,3000000,ROE,10-Nov
Anthony Modeste,Pre-Season,Attacker,FRA,Hoffenheim,Bordeaux,Sold,3000000,Bundesliga,13/14
William Vainqueur,Pre-Season,Midfielder,FRA,Roma,Dynamo Moscow,Sold,3000000,Serie A,15/16
MBaye Niang,Pre-Season,Attacker,FRA,AC Milan,Caen,Sold,3000000,Serie A,Dec-13
Massadio Haidara,Mid-Season,,FRA,Newcastle,Nancy,Sold,3000000,EPL,Dec-13
Alou Diarra,Pre-Season,Midfielder,FRA,West Ham,Marseille,Sold,3000000,EPL,Dec-13
Gabriel Obertan,Pre-Season,Midfielder,FRA,Newcastle,Manchester Utd,Sold,3400000,EPL,11-Dec
Anthony Mounier,Pre-Season,Attacker,FRA,Montpellier,Nice,Sold,3500000,ROE,Dec-13
Nicolas N\'Koulou,Pre-Season,Defender,FRA,Olymp. Marseille,Monaco,Sold,3500000,ROE,11-Dec
Seko Fofana,Pre-Season,Midfielder,FRA,Udinese,Man City,Sold,3500000,Serie A,16/17
Thomas Lemar,Pre-Season,Midfielder,FRA,Monaco,Caen,Sold,4000000,ROE,15/16
Jean-Philippe Mateta,Pre-Season,Attacker,FRA,Lyon,Chateauroux,Sold,4000000,ROE,16/17
Romain Hamouma,Pre-Season,Midfielder,FRA,Saint Etienne,Caen,Sold,4000000,ROE,Dec-13
Michael Ciani,Pre-Season,Defender,FRA,Lazio,Bordeaux,Sold,4000000,Serie A,Dec-13
Adil Rami,Pre-Season,Defender,FRA,Sevilla,AC Milan,Sold,4200000,La Liga,15/16
Adil Rami,Pre-Season,Defender,FRA,AC Milan,Valencia,Sold,4250000,Serie A,14/15
Gael Kakuta,Pre-Season,Midfielder,FRA,Sevilla,Chelsea,Sold,4500000,La Liga,15/16
Steven Nzonzi,Pre-Season,Midfielder,FRA,Stoke,Blackburn,Sold,4500000,EPL,Dec-13
Yohan Cabaye,Pre-Season,Midfielder,FRA,Newcastle,Lille,Sold,4800000,EPL,11-Dec
Romain Alessandrini,Pre-Season,Midfielder,FRA,Marseille,Rennes,Sold,5000000,ROE,14/15
Jeremy Toulalan,Pre-Season,Midfielder,FRA,Monaco,Malaga,Sold,5000000,ROE,13/14
Anthony Martial,Pre-Season,Attacker,FRA,Monaco,Lyon,Sold,5000000,ROE,13/14
Franck Tabanou,Pre-Season,Midfielder,FRA,Saint Etienne,Toulouse,Sold,5000000,ROE,13/14
Benjamin Corgnet,Pre-Season,Midfielder,FRA,Saint Etienne,Lorient,Sold,5000000,ROE,13/14
Jean-Philippe Gbamin,Pre-Season,Defender,FRA,Mainz,Lens,Sold,5000000,Bundesliga,16/17
Claudio Beauvue,Mid-Season,Attacker,FRA,Celta,Lyon,Sold,5000000,La Liga,15/16
Djibril Cisse,Mid-Season,,FRA,QPR,Lazio,Sold,5000000,EPL,11-Dec
Franck Tabanou,Pre-Season,Midfielder,FRA,Swansea,Saint Etienne,Sold,5500000,EPL,15/16
Benjamin Stambouli,Pre-Season,Midfielder,FRA,Tottenham,Montpellier,Sold,5800000,EPL,14/15
Lassana Diarra,Pre-Season,Midfielder,FRA,Anzhi,Real Madrid,Sold,6000000,ROE,Dec-13
Jimmy Briand,Pre-Season,Attacker,FRA,Lyon,Stade Rennes,Sold,6000000,ROE,10-Nov
Sehrou Guirassy,Pre-Season,Attacker,FRA,FC Koln,Lille,Sold,6000000,Bundesliga,16/17
Djibril Cisse,Pre-Season,Attacker,FRA,Lazio,Panathinaikos,Sold,6000000,Serie A,11-Dec
Abdoulay Konko,Mid-Season,Defender,FRA,Genoa,Sevilla,Sold,6000000,Serie A,10-Nov
Mathieu Debuchy,Mid-Season,,FRA,Newcastle,Lille,Sold,6100000,EPL,Dec-13
Benoit Tremoulinas,Pre-Season,Defender,FRA,Dynamo Kiev,Bordeaux,Sold,6500000,ROE,13/14
Lys Mousset,Pre-Season,Attacker,FRA,Bournemouth,Le Havre,Sold,6500000,EPL,16/17
Mathieu Valbuena,Pre-Season,Midfielder,FRA,Lyon,Dynamo Moscow,Sold,7000000,ROE,15/16
Mathieu Valbuena,Pre-Season,Midfielder,FRA,Dynamo Moscow,Olymp. Marseille,Sold,7000000,ROE,14/15
Kalidou Koulibaly,Pre-Season,Defender,FRA,Napoli,Genk,Sold,7000000,Serie A,14/15
Mapou Yanga-Mbiwa,Mid-Season,Defender,FRA,Roma,Newcastle,Sold,7400000,Serie A,14/15
Gianelli Imbula,Pre-Season,Midfielder,FRA,Marseille,Guingamp,Sold,7500000,ROE,13/14
Blaise Matuidi,Pre-Season,Midfielder,FRA,PSG,St Etienne,Sold,7500000,ROE,11-Dec
Kevin Gameiro,Pre-Season,Attacker,FRA,Sevilla,PSG,Sold,7500000,La Liga,13/14
Emmanuel Riviere,Pre-Season,Attacker,FRA,Newcastle,Monaco,Sold,7500000,EPL,14/15
Gael Clichy,Pre-Season,Defender,FRA,Manchester City,Arsenal,Sold,7800000,EPL,11-Dec
Mapou Yanga-Mbiwa,Pre-Season,Defender,FRA,Lyon,Roma,Sold,8000000,ROE,15/16
Tiemoue Bakayoko,Pre-Season,Midfielder,FRA,Monaco,Rennes,Sold,8000000,ROE,14/15
Nolan Roux,Mid-Season,Attacker,FRA,Lille,Brest,Sold,8000000,ROE,11-Dec
Dimitri Payet,Pre-Season,Midfielder,FRA,Lille,St Etienne,Sold,8000000,ROE,11-Dec
Jeremy Menez,Pre-Season,Attacker,FRA,PSG,Roma,Sold,8000000,ROE,11-Dec
N’Golo Kante,Pre-Season,Midfielder,FRA,Leicester,Caen,Sold,8000000,EPL,15/16
Mapou Yanga-Mbiwa,Mid-Season,,FRA,Newcastle,Montpellier,Sold,8000000,EPL,Dec-13
Benjamin Stambouli,Pre-Season,Midfielder,FRA,Schalke,PSG,Sold,8500000,Bundesliga,16/17
Etienne Capoue,Pre-Season,Midfielder,FRA,Watford,Tottenham,Sold,8500000,EPL,15/16
Benjamin Stambouli,Pre-Season,Midfielder,FRA,PSG,Tottenham,Sold,8600000,ROE,15/16
Wissam Ben Yedder,Pre-Season,Attacker,FRA,Sevilla,Toulouse,Sold,9000000,La Liga,16/17
Steven N'Zonzi,Pre-Season,Midfielder,FRA,Sevilla,Stoke,Sold,9700000,La Liga,15/16
Loic Remy,Mid-Season,,FRA,QPR,Marseille,Sold,9700000,EPL,Dec-13
Marvin Martin,Pre-Season,Midfielder,FRA,Lille,Sochaux,Sold,10000000,ROE,Dec-13
Kevin Gameiro,Pre-Season,Attacker,FRA,Paris S-G,Lorient,Sold,10000000,ROE,11-Dec
Joshua Guilavogui,Pre-Season,Midfielder,FRA,Atletico Madrid,Saint Etienne,Sold,10000000,La Liga,13/14
Jeremy Toulalan,Pre-Season,Midfielder,FRA,Malaga,Lyon,Sold,10000000,La Liga,11-Dec
Adil Rami,Pre-Season,Defender,FRA,Valenica,Lille,Sold,10000000,La Liga,11-Dec
Mathieu Debuchy,Pre-Season,Defender,FRA,Arsenal,Newcastle,Sold,10000000,EPL,14/15
Remy Cabella,Pre-Season,Midfielder,FRA,Newcastle,Montpellier,Sold,10000000,EPL,14/15
Etienne Capoue,Pre-Season,Midfielder,FRA,Tottenham,Toulouse,Sold,10000000,EPL,13/14
Hugo Lloris,Pre-Season,Goalkeeper,FRA,Tottenham,Lyon,Sold,10000000,EPL,Dec-13
Abdoulaye Doucoure,Mid-Season,,FRA,Watford,Rennes,Sold,10500000,EPL,15/16
Charles NZogbia,Pre-Season,Midfielder,FRA,Aston Villa,Wigan Athletic,Sold,10800000,EPL,11-Dec
Georges-Kevin N'Koudou,Pre-Season,Midfielder,FRA,Tottenham,Marseille,Sold,11000000,EPL,16/17
Jordan Amavi,Pre-Season,Defender,FRA,Aston Villa,Nice,Sold,11000000,EPL,15/16
Jordan Veretout,Pre-Season,Midfielder,FRA,Aston Villa,Nantes,Sold,11400000,EPL,15/16
Yann MVila,Mid-Season,Midfielder,FRA,Rubin Kazan,Rennes,Sold,12000000,ROE,Dec-13
Benjamin Mendy,Pre-Season,Defender,FRA,Monaco,Marseille,Sold,13000000,ROE,16/17
Loic Remy,Pre-Season,Attacker,FRA,Chelsea,QPR,Sold,13300000,EPL,14/15
Yohan Cabaye,Pre-Season,Midfielder,FRA,Crystal Palace,PSG,Sold,14000000,EPL,15/16
E. Abidal,Pre-Season,,FRA,Barcelona,Lyon,Sold,15000000,La Liga,07-Aug
Yoann Gourcuff,Pre-Season,,FRA,Bordeaux,AC Milan,Sold,15000000,ROE,09-Oct
Aly Cissokho,Pre-Season,,FRA,Lyon,Porto,Sold,15000000,ROE,09-Oct
Djibril Sidibe,Pre-Season,Defender,FRA,Monaco,Lille,Sold,15000000,ROE,16/17
Florian Thauvin,Pre-Season,Midfielder,FRA,Marseille,Lille,Sold,15000000,ROE,13/14
Lucas Digne,Pre-Season,Defender,FRA,PSG,Lille,Sold,15000000,ROE,13/14
Loic Remy,Pre-Season,Attacker,FRA,Marseille,Nice,Sold,15000000,ROE,10-Nov
Ousmane Dembele,Pre-Season,Attacker,FRA,Bor. Dortmund,Rennes,Sold,15000000,Bundesliga,16/17
Nampalys Mendy,Pre-Season,Midfielder,FRA,Leicester,Nice,Sold,15000000,EPL,16/17
Dimitri Payet,Pre-Season,Midfielder,FRA,West Ham,Marseille,Sold,15000000,EPL,15/16
Kurt Zouma,Mid-Season,,FRA,Chelsea,Saint Etienne,Sold,15000000,EPL,13/14
Olivier Giroud,Pre-Season,Attacker,FRA,Arsenal,Montpellier,Sold,15000000,EPL,Dec-13
Lucas Digne,Pre-Season,Defender,FRA,Barcelona,PSG,Sold,16500000,La Liga,16/17
Florian Thauvin,Pre-Season,Midfielder,FRA,Newcastle,Marseille,Sold,17000000,EPL,15/16
Mamadou Sakho,Pre-Season,Defender,FRA,Liverpool,PSG,Sold,19000000,EPL,13/14
Gianelli Imbula,Pre-Season,Midfielder,FRA,Porto,Marseille,Sold,20000000,ROE,15/16
Geoffrey Kondogbia,Pre-Season,Midfielder,FRA,Monaco,Sevilla,Sold,20000000,ROE,13/14
Jeremy Mathieu,Pre-Season,Defender,FRA,Barcelona,Valencia,Sold,20000000,La Liga,14/15
Lassana Diarra,Mid-Season,,FRA,Real Madrid,Portsmouth,Sold,20800000,La Liga,08-Sep
Yoann Gourcuff,Pre-Season,Midfielder,FRA,Bordeaux,Lyon,Sold,22000000,ROE,10-Nov
Layvin Kurzawa,Pre-Season,Defender,FRA,PSG,Monaco,Sold,23000000,ROE,15/16
Yohan Cabaye,Mid-Season,Midfielder,FRA,PSG,Newcastle,Sold,23000000,ROE,13/14
T. Henry,Pre-Season,,FRA,Barcelona,Arsenal,Sold,23800000,La Liga,07-Aug
Gianelli Imbula,Mid-Season,,FRA,Stoke,Porto,Sold,24000000,EPL,15/16
Samuel Umtiti,Pre-Season,Defender,FRA,Barcelona,Lyon,Sold,25000000,La Liga,16/17
Samir Nasri,Pre-Season,Midfielder,FRA,Manchester City,Arsenal,Sold,26000000,EPL,11-Dec
Antoine Griezmann,Pre-Season,Attacker,FRA,Atletico Madrid,Real Sociedad,Sold,30000000,La Liga,14/15
Kevin Gameiro,Pre-Season,Attacker,FRA,Atletico Madrid,Sevilla,Sold,34000000,La Liga,16/17
Moussa Sissoko,Pre-Season,Midfielder,FRA,Tottenham,Newcastle,Sold,35000000,EPL,16/17
Morgan Schneiderlin,Pre-Season,Midfielder,FRA,Manchester Utd,Southampton,Sold,35000000,EPL,15/16
N'Golo Kante,Pre-Season,Midfielder,FRA,Chelsea,Leicester,Sold,36000000,EPL,16/17
Geoffrey Kondogbia,Pre-Season,Midfielder,FRA,Inter Milan,Monaco,Sold,40000000,Serie A,15/16
Karim Benzema,Pre-Season,,FRA,Real Madrid,Lyon,Sold,41000000,La Liga,09-Oct
Anthony Martial,Pre-Season,Attacker,FRA,Manchester Utd,Monaco,Sold,49000000,EPL,15/16
Eliaquim Mangala,Pre-Season,Defender,FRA,Manchester City,Porto,Sold,54000000,EPL,14/15
Paul Pogba,Pre-Season,Midfielder,FRA,Manchester Utd,Juventus,Sold,105000000,EPL,16/17
Didier Ndong,Mid-Season,Midfielder,GAB,Lorient,CS Sfaxien,Sold,1000000,ROE,14/15
Pierre Aubameyang,Pre-Season,Attacker,GAB,Bor. Dortmund,Saint Etienne,Sold,13000000,Bundesliga,13/14
Didier Ndong,Pre-Season,Midfielder,GAB,Sunderland,Lorient,Sold,16000000,EPL,16/17
Jack Grimmer,Mid-Season,,GBR,Fulham,Aberdeen,Sold,240000,EPL,11-Dec
Rhoys Wiggins,Mid-Season,,GBR,Bournemouth,Sheffield Wed.,Sold,260000,EPL,15/16
Gary Mackay-Steven,Mid-Season,Midfielder,GBR,Celtic,Dundee Utd,Sold,330000,ROE,14/15
Kris Commons,Mid-Season,Midfielder,GBR,Celtic,Derby,Sold,350000,ROE,10-Nov
Hope Akpan,Mid-Season,,GBR,Reading,Crawley,Sold,370000,EPL,Dec-13
Matt Phillips,Pre-Season,Midfielder,GBR,Blackpool,Wycombe,Sold,395000,EPL,10-Nov
Adam Hammill,Mid-Season,,GBR,Wolverhampton,Barnsley,Sold,590000,EPL,10-Nov
Jordan Bowery,Pre-Season,Attacker,GBR,Aston Villa,Chesterfield,Sold,630000,EPL,Dec-13
Joe Ledley,Mid-Season,,GBR,Crystal Palace,Celtic,Sold,850000,EPL,13/14
Leigh Griffiths,Mid-Season,Attacker,GBR,Celtic,Wolverhampton,Sold,1000000,ROE,13/14
Kyle Bartley,Pre-Season,Defender,GBR,Swansea City,Arsenal,Sold,1300000,EPL,Dec-13
Lee Wallace,Pre-Season,Defender,GBR,Rangers,Hearts,Sold,1700000,ROE,11-Dec
John Brayford,Pre-Season,Defender,GBR,Cardiff,Derby County,Sold,1750000,EPL,13/14
Jermaine Pennant,Mid-Season,,GBR,Stoke City,Real Zaragoza,Sold,1900000,EPL,10-Nov
Lukas Jutikiewicz,Pre-Season,Attacker,GBR,Burnley,Middlesbrough,Sold,2000000,EPL,14/15
Allan McGregor,Pre-Season,Goalkeeper,GBR,Hull City,Besiktas,Sold,2000000,EPL,13/14
Patrick Bamford,Mid-Season,,GBR,Chelsea,Nottingham Forest,Sold,2000000,EPL,11-Dec
Leroy Lita,Pre-Season,Attacker,GBR,Swansea City,Middlesbrough,Sold,2000000,EPL,11-Dec
Jonjo Shelvey,Pre-Season,Midfielder,GBR,Liverpool,Charlton,Sold,2000000,EPL,10-Nov
Stuart Armstrong,Mid-Season,Midfielder,GBR,Celtic,Dundee Utd,Sold,2100000,ROE,14/15
Jason Puncheon,Mid-Season,,GBR,Crystal Palace,Southampton,Sold,2100000,EPL,13/14
Anthony Pilkington,Pre-Season,Midfielder,GBR,Norwich,Huddersfield,Sold,2200000,EPL,11-Dec
Matt Grimes,Mid-Season,,GBR,Swansea,Exeter,Sold,2250000,EPL,14/15
Wayne Routledge,Pre-Season,Midfielder,GBR,Swansea City,Newcastle,Sold,2300000,EPL,11-Dec
Rob Holding,Pre-Season,Defender,GBR,Arsenal,Bolton,Sold,2400000,EPL,16/17
Danny Wilson,Pre-Season,Defender,GBR,Liverpool,Rangers,Sold,2400000,EPL,10-Nov
Aaron Cresswell,Pre-Season,Defender,GBR,West Ham,Ipswich,Sold,2500000,EPL,14/15
Nathan Redmond,Pre-Season,Midfielder,GBR,Norwich,Birmingham,Sold,2500000,EPL,13/14
Kieran Richardson,Pre-Season,Midfielder,GBR,Fulham,Sunderland,Sold,2500000,EPL,Dec-13
Adam Matthews,Pre-Season,Defender,GBR,Sunderland,Celtic,Sold,2800000,EPL,15/16
Victor Moses,Mid-Season,,GBR,Wigan Athletic,Crystal Palace,Sold,2900000,EPL,09-Oct
Nedum Onuoha,Mid-Season,,GBR,QPR,Manchester City,Sold,3000000,EPL,11-Dec
Liam Ridgewell,Mid-Season,,GBR,West Bromwich,Birmingham,Sold,3000000,EPL,11-Dec
Harry Maguire,Pre-Season,Defender,GBR,Hull City,Sheffield Utd,Sold,3100000,EPL,14/15
James Collins,Pre-Season,Defender,GBR,West Ham,Aston Villa,Sold,3200000,EPL,Dec-13
Scott Sinclair,Pre-Season,Midfielder,GBR,Aston Villa,Manchester City,Sold,3400000,EPL,15/16
Matt Jarvis,Mid-Season,,GBR,Norwich,West Ham,Sold,3400000,EPL,15/16
Craig Gardner,Mid-Season,,GBR,Birmingham,Aston Villa,Sold,3400000,EPL,09-Oct
Andrew Robertson,Pre-Season,Defender,GBR,Hull City,Dundee Utd,Sold,3500000,EPL,14/15
John Stones,Mid-Season,,GBR,Everton,Barnsley,Sold,3500000,EPL,Dec-13
Marvin Sordell,Mid-Season,,GBR,Bolton,Watford,Sold,3600000,EPL,11-Dec
Ryan Bennett,Mid-Season,,GBR,Norwich,Peterborough,Sold,3600000,EPL,11-Dec
Wayne Hennessey,Mid-Season,,GBR,Crystal Palace,Wolverhampton,Sold,3650000,EPL,13/14
Liam Bridcutt,Mid-Season,,GBR,Sunderland,Brighton,Sold,3650000,EPL,13/14
Ryan Gauld,Pre-Season,Midfielder,GBR,Sporting Lisbon,Dundee Utd,Sold,3700000,ROE,14/15
Ezequiel Fryers,Mid-Season,,GBR,Tottenham,Standard Liege,Sold,3700000,EPL,Dec-13
Nick Powell,Pre-Season,Midfielder,GBR,Manchester Utd,Crewe,Sold,3750000,EPL,Dec-13
George Boyd,Pre-Season,Midfielder,GBR,Burnley,Hull City,Sold,3800000,EPL,14/15
Michael Dawson,Pre-Season,Defender,GBR,Hull City,Tottenham,Sold,3800000,EPL,14/15
Wilfried Zaha,Mid-Season,,GBR,Crystal Palace,Manchester Utd,Sold,4000000,EPL,14/15
Jack Butland,Mid-Season,,GBR,Stoke,Birmingham,Sold,4000000,EPL,Dec-13
Danny Graham,Pre-Season,Attacker,GBR,Swansea City,Watford,Sold,4000000,EPL,11-Dec
Curtis Davies,Mid-Season,,GBR,Birmingham,Aston Villa,Sold,4000000,EPL,10-Nov
Lee Tomlin,Pre-Season,Attacker,GBR,Bournemouth,Middlesbrough,Sold,4300000,EPL,15/16
Rickie Lambert,Pre-Season,Attacker,GBR,West Brom,Liverpool,Sold,4300000,EPL,15/16
Sam Byram,Mid-Season,,GBR,West Ham,Leeds,Sold,4800000,EPL,15/16
Bobby Zamora,Mid-Season,,GBR,QPR,Fulham,Sold,4800000,EPL,11-Dec
Joe Gomez,Pre-Season,Defender,GBR,Liverpool,Charlton,Sold,4900000,EPL,15/16
Kieran Trippier,Pre-Season,Defender,GBR,Tottenham,Burnley,Sold,4900000,EPL,15/16
Rickie Lambert,Pre-Season,Attacker,GBR,Liverpool,Southampton,Sold,5000000,EPL,14/15
Eric Dier,Pre-Season,Defender,GBR,Tottenham,Sporting Lisbon,Sold,5000000,EPL,14/15
Demarai Gray,Mid-Season,,GBR,Leicester,Birmingham,Sold,5000000,EPL,15/16
Charlie Adam,Pre-Season,Midfielder,GBR,Stoke,Liverpool,Sold,5000000,EPL,Dec-13
Ben Foster,Pre-Season,Goalkeeper,GBR,West Bromwich,Birmingham,Sold,5000000,EPL,Dec-13
Charlie Austin,Mid-Season,,GBR,Southampton,QPR,Sold,5250000,EPL,15/16
Dwight Gayle,Pre-Season,Attacker,GBR,Crystal Palace,Peterborough,Sold,5300000,EPL,13/14
Glenn Murray,Pre-Season,Attacker,GBR,Bournemouth,Crystal Palace,Sold,5500000,EPL,15/16
Scott Parker,Pre-Season,Attacker,GBR,Tottenham,West Ham,Sold,5700000,EPL,11-Dec
Danny Graham,Mid-Season,,GBR,Sunderland,Swansea,Sold,5800000,EPL,Dec-13
Jonjo Shelvey,Pre-Season,Midfielder,GBR,Swansea,Liverpool,Sold,5900000,EPL,13/14
Tom Huddlestone,Pre-Season,Midfielder,GBR,Hull CIty,Tottenham,Sold,6100000,EPL,13/14
Jordon Mutch,Pre-Season,Midfielder,GBR,QPR,Cardiff City,Sold,6300000,EPL,14/15
Callum McManaman,Mid-Season,,GBR,West Bromwich,Wigan,Sold,6400000,EPL,14/15
Gary Hooper,Pre-Season,Attacker,GBR,Norwich,Celtic,Sold,6400000,EPL,13/14
Kyle Naughton,Mid-Season,,GBR,Swansea,Tottenham,Sold,6500000,EPL,14/15
Matt Phillips,Pre-Season,Midfielder,GBR,West Brom,QPR,Sold,6500000,EPL,16/17
Dele Alli,Mid-Season,,GBR,Tottenham,MK Dons,Sold,6600000,EPL,14/15
Craig Gardner,Pre-Season,Midfielder,GBR,Sunderland,Birmingham,Sold,6600000,EPL,11-Dec
Cameron Jerome,Pre-Season,Attacker,GBR,Stoke,Birmingham,Sold,6800000,EPL,11-Dec
Lewis Cook,Pre-Season,Midfielder,GBR,Bournemouth,Leeds,Sold,7000000,EPL,16/17
Stewart Downing,Pre-Season,Midfielder,GBR,West Ham,Liverpool,Sold,7000000,EPL,13/14
Patrick Roberts,Pre-Season,Attacker,GBR,Manchester City,Fulham,Sold,7200000,EPL,15/16
Ben Foster,Pre-Season,Goalkeeper,GBR,Birmingham,Manchester Utd,Sold,7200000,EPL,10-Nov
Scott Sinclair,Pre-Season,Attacker,GBR,Manchester City,Swansea City,Sold,7800000,EPL,Dec-13
Robert Snodgrass,Pre-Season,Midfielder,GBR,Hull City,Norwich,Sold,8000000,EPL,14/15
Adam Johnson,Mid-Season,,GBR,Manchester City,Middlesbrough,Sold,8000000,EPL,09-Oct
Jonny Evans,Pre-Season,Defender,GBR,West Brom,Manchester Utd,Sold,8250000,EPL,15/16
Gary Cahill,Mid-Season,,GBR,Chelsea,Bolton,Sold,8500000,EPL,11-Dec
Scott Dann,Pre-Season,Defender,GBR,Blackburn,Birmingham,Sold,8700000,EPL,11-Dec
Jay Rodriguez,Pre-Season,Attacker,GBR,Southampton,Burnley,Sold,8800000,EPL,Dec-13
